TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 20:46:27.000000000,2232.9829800819,-4985.70647484938,-4341.76392127422
1 Jan 2020 20:46:28.000000000,2233.2771708209,-4990.64081611641,-4335.93972669962
1 Jan 2020 20:46:29.000000000,2233.56803445908,-4995.56937227595,-4330.1104458189
1 Jan 2020 20:46:30.000000000,2233.85557150118,-5000.49213708749,-4324.27608547006
1 Jan 2020 20:46:31.000000000,2234.13978245627,-5005.40910431737,-4318.43665249728
1 Jan 2020 20:46:32.000000000,2234.4206678387,-5010.32026773883,-4312.59215375041
1 Jan 2020 20:46:33.000000000,2234.69822816722,-5015.22562113187,-4306.74259608554
1 Jan 2020 20:46:34.000000000,2234.97246396543,-5020.12515828359,-4300.88798636436
1 Jan 2020 20:46:35.000000000,2235.2433757619,-5025.01887298761,-4295.02833145484
1 Jan 2020 20:46:36.000000000,2235.51096408988,-5029.90675904467,-4289.16363823061
1 Jan 2020 20:46:37.000000000,2235.77522948754,-5034.78881026233,-4283.29391357121
1 Jan 2020 20:46:38.000000000,2236.03617249746,-5039.66502045501,-4277.41916436232
1 Jan 2020 20:46:39.000000000,2236.29379366748,-5044.53538344411,-4271.53939749519
1 Jan 2020 20:46:40.000000000,2236.54809354977,-5049.39989305784,-4265.65461986731
1 Jan 2020 20:46:41.000000000,2236.7990727017,-5054.25854313135,-4259.76483838175
1 Jan 2020 20:46:42.000000000,2237.04673168511,-5059.11132750684,-4253.87005994751
1 Jan 2020 20:46:43.000000000,2237.29107106659,-5063.95824003328,-4247.97029147965
1 Jan 2020 20:46:44.000000000,2237.53209141776,-5068.7992745667,-4242.06553989877
1 Jan 2020 20:46:45.000000000,2237.76979331486,-5073.6344249699,-4236.15581213166
1 Jan 2020 20:46:46.000000000,2238.00417733904,-5078.46368511283,-4230.2411151106
1 Jan 2020 20:46:47.000000000,2238.23524407585,-5083.2870488723,-4224.32145577402
1 Jan 2020 20:46:48.000000000,2238.46299411611,-5088.10451013208,-4218.39684106596
1 Jan 2020 20:46:49.000000000,2238.6874280549,-5092.91606278312,-4212.46727793624
1 Jan 2020 20:46:50.000000000,2238.90854649255,-5097.72170072297,-4206.53277334073
1 Jan 2020 20:46:51.000000000,2239.12635003367,-5102.52141785662,-4200.59333424081
1 Jan 2020 20:46:52.000000000,2239.3408392881,-5107.31520809562,-4194.64896760392
1 Jan 2020 20:46:53.000000000,2239.55201486999,-5112.10306535897,-4188.69968040299
1 Jan 2020 20:46:54.000000000,2239.75987739856,-5116.8849835723,-4182.74547961704
1 Jan 2020 20:46:55.000000000,2239.96442749782,-5121.66095666845,-4176.7863722306
1 Jan 2020 20:46:56.000000000,2240.16566579616,-5126.43097858744,-4170.82236523398
1 Jan 2020 20:46:57.000000000,2240.36359292719,-5131.19504327595,-4164.85346562345
1 Jan 2020 20:46:58.000000000,2240.55820952883,-5135.95314468814,-4158.87968040071
