TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 20:24:50.000000000,2637.25136494745,-4521.76836403355,-4614.42435097566
1 Jan 2020 20:24:51.000000000,2638.17675215617,-4526.90928309172,-4608.85145755531
1 Jan 2020 20:24:52.000000000,2639.09830927291,-4532.04505057857,-4603.27315768771
1 Jan 2020 20:24:53.000000000,2640.01603597312,-4537.17565993836,-4597.68945791652
1 Jan 2020 20:24:54.000000000,2640.92993193808,-4542.30110462109,-4592.10036479176
1 Jan 2020 20:24:55.000000000,2641.83999685411,-4547.421378083,-4586.50588486973
1 Jan 2020 20:24:56.000000000,2642.74623041334,-4552.53647378606,-4580.90602471309
1 Jan 2020 20:24:57.000000000,2643.64863231295,-4557.64638519849,-4575.3007908908
1 Jan 2020 20:24:58.000000000,2644.54720225593,-4562.7511057943,-4569.69018997811
1 Jan 2020 20:24:59.000000000,2645.4419399502,-4567.85062905378,-4564.07422855659
1 Jan 2020 20:25:00.000000000,2646.33284510981,-4572.94494846287,-4558.45291321408
1 Jan 2020 20:25:01.000000000,2647.21991745362,-4578.03405751387,-4552.82625054471
1 Jan 2020 20:25:02.000000000,2648.10315670603,-4583.11794970508,-4547.19424714886
1 Jan 2020 20:25:03.000000000,2648.98256259716,-4588.19661854067,-4541.55690963322
1 Jan 2020 20:25:04.000000000,2649.85813486215,-4593.2700575311,-4535.91424461069
1 Jan 2020 20:25:05.000000000,2650.72987324197,-4598.33826019269,-4530.26625870044
1 Jan 2020 20:25:06.000000000,2651.59777748259,-4603.40122004805,-4524.61295852789
1 Jan 2020 20:25:07.000000000,2652.46184733585,-4608.45893062563,-4518.95435072469
1 Jan 2020 20:25:08.000000000,2653.32208255844,-4613.51138546029,-4513.2904419287
1 Jan 2020 20:25:09.000000000,2654.17848291325,-4618.55857809258,-4507.62123878402
1 Jan 2020 20:25:10.000000000,2655.03104816782,-4623.60050206956,-4501.94674794094
1 Jan 2020 20:25:11.000000000,2655.87977809565,-4628.63715094412,-4496.26697605598
1 Jan 2020 20:25:12.000000000,2656.72467247535,-4633.66851827545,-4490.58192979182
1 Jan 2020 20:25:13.000000000,2657.56573109093,-4638.69459762888,-4484.89161581735
1 Jan 2020 20:25:14.000000000,2658.40295373215,-4643.71538257572,-4479.19604080764
1 Jan 2020 20:25:15.000000000,2659.23634019375,-4648.73086669364,-4473.49521144393
1 Jan 2020 20:25:16.000000000,2660.06589027622,-4653.74104356631,-4467.78913441361
1 Jan 2020 20:25:17.000000000,2660.89160378535,-4658.74590678364,-4462.07781641024
1 Jan 2020 20:25:18.000000000,2661.71348053244,-4663.74544994162,-4456.36126413352
1 Jan 2020 20:25:19.000000000,2662.53152033389,-4668.73966664265,-4450.6394842893
1 Jan 2020 20:25:20.000000000,2663.34572301186,-4673.72855049511,-4444.91248358956
1 Jan 2020 20:25:21.000000000,2664.15608839388,-4678.7120951136,-4439.18026875239
1 Jan 2020 20:25:22.000000000,2664.9626163126,-4683.69029411909,-4433.44284650202
1 Jan 2020 20:25:23.000000000,2665.7653066065,-4688.66314113857,-4427.70022356876
1 Jan 2020 20:25:24.000000000,2666.56415911905,-4693.63062980544,-4421.95240668904
1 Jan 2020 20:25:25.000000000,2667.35917369953,-4698.59275375913,-4416.19940260538
1 Jan 2020 20:25:26.000000000,2668.15035020224,-4703.54950664556,-4410.44121806639
1 Jan 2020 20:25:27.000000000,2668.93768848729,-4708.50088211664,-4404.67785982675
1 Jan 2020 20:25:28.000000000,2669.72118841978,-4713.44687383078,-4398.90933464721
1 Jan 2020 20:25:29.000000000,2670.50084987053,-4718.38747545249,-4393.13564929458
1 Jan 2020 20:25:30.000000000,2671.27667271578,-4723.32268065255,-4387.35681054171
1 Jan 2020 20:25:31.000000000,2672.04865683683,-4728.25248310821,-4381.57282516753
1 Jan 2020 20:25:32.000000000,2672.81680212083,-4733.17687650276,-4375.78369995698
1 Jan 2020 20:25:33.000000000,2673.58110845991,-4738.09585452603,-4369.98944170103
1 Jan 2020 20:25:34.000000000,2674.34157575202,-4743.00941087394,-4364.19005719669
1 Jan 2020 20:25:35.000000000,2675.09820390008,-4747.91753924895,-4358.38555324696
1 Jan 2020 20:25:36.000000000,2675.85099281286,-4752.82023335959,-4352.57593666085
1 Jan 2020 20:25:37.000000000,2676.59994240407,-4757.717486921,-4346.76121425339
1 Jan 2020 20:25:38.000000000,2677.34505259318,-4762.60929365445,-4340.94139284558
1 Jan 2020 20:25:39.000000000,2678.08632330502,-4767.49564728757,-4335.1164792644
1 Jan 2020 20:25:40.000000000,2678.82375446951,-4772.37654155452,-4329.2864803428
1 Jan 2020 20:25:41.000000000,2679.55734602242,-4777.2519701956,-4323.45140291972
1 Jan 2020 20:25:42.000000000,2680.28709790445,-4782.12192695772,-4317.61125384003
1 Jan 2020 20:25:43.000000000,2681.01301006215,-4786.98640559392,-4311.76603995457
1 Jan 2020 20:25:44.000000000,2681.73508244703,-4791.84539986387,-4305.9157681201
1 Jan 2020 20:25:45.000000000,2682.45331501641,-4796.69890353342,-4300.06044519932
1 Jan 2020 20:25:46.000000000,2683.16770773258,-4801.54691037504,-4294.20007806088
1 Jan 2020 20:25:47.000000000,2683.87826056355,-4806.38941416744,-4288.33467357931
1 Jan 2020 20:25:48.000000000,2684.58497348262,-4811.22640869582,-4282.46423863507
1 Jan 2020 20:25:49.000000000,2685.28784646856,-4816.05788775175,-4276.58878011452
1 Jan 2020 20:25:50.000000000,2685.98687950534,-4820.88384513335,-4270.70830490991
1 Jan 2020 20:25:51.000000000,2686.68207258231,-4825.70427464518,-4264.82281991937
1 Jan 2020 20:25:52.000000000,2687.37342569453,-4830.5191700981,-4258.93233204692
1 Jan 2020 20:25:53.000000000,2688.06093884201,-4835.32852530965,-4253.03684820243
1 Jan 2020 20:25:54.000000000,2688.74461203058,-4840.13233410359,-4247.13637530165
1 Jan 2020 20:25:55.000000000,2689.42444527092,-4844.93059031049,-4241.23092026617
1 Jan 2020 20:25:56.000000000,2690.10043857984,-4849.72328776697,-4235.32049002343
1 Jan 2020 20:25:57.000000000,2690.77259197879,-4854.51042031655,-4229.4050915067
1 Jan 2020 20:25:58.000000000,2691.44090549502,-4859.29198180904,-4223.48473165508
1 Jan 2020 20:25:59.000000000,2692.10537916117,-4864.06796610073,-4217.55941741349
1 Jan 2020 20:26:00.000000000,2692.76601301492,-4868.83836705463,-4211.62915573268
1 Jan 2020 20:26:01.000000000,2693.42280709978,-4873.60317854003,-4205.69395356917
1 Jan 2020 20:26:02.000000000,2694.0757614642,-4878.36239443299,-4199.7538178853
1 Jan 2020 20:26:03.000000000,2694.72487616243,-4883.11600861588,-4193.80875564918
1 Jan 2020 20:26:04.000000000,2695.37015125366,-4887.86401497784,-4187.85877383473
1 Jan 2020 20:26:05.000000000,2696.01158680291,-4892.60640741436,-4181.9038794216
1 Jan 2020 20:26:06.000000000,2696.64918288012,-4897.3431798277,-4175.94407939524
1 Jan 2020 20:26:07.000000000,2697.28293956093,-4902.07432612653,-4169.97938074682
1 Jan 2020 20:26:08.000000000,2697.91285692637,-4906.79984022612,-4164.00979047329
1 Jan 2020 20:26:09.000000000,2698.53893506248,-4911.51971604847,-4158.0353155773
1 Jan 2020 20:26:10.000000000,2699.16117406113,-4916.23394752197,-4152.05596306728
1 Jan 2020 20:26:11.000000000,2699.77957401911,-4920.94252858183,-4146.07173995734
1 Jan 2020 20:26:12.000000000,2700.39413503904,-4925.64545316966,-4140.08265326731
1 Jan 2020 20:26:13.000000000,2701.00485722842,-4930.3427152339,-4134.08871002274
1 Jan 2020 20:26:14.000000000,2701.61174070061,-4935.03430872941,-4128.08991725487
1 Jan 2020 20:26:15.000000000,2702.21478557384,-4939.7202276179,-4122.08628200063
1 Jan 2020 20:26:16.000000000,2702.81399197207,-4944.40046586755,-4116.07781130262
1 Jan 2020 20:26:17.000000000,2703.40936002461,-4949.07501745321,-4110.06451220913
1 Jan 2020 20:26:18.000000000,2704.00088986579,-4953.74387635655,-4104.0463917741
1 Jan 2020 20:26:19.000000000,2704.58858163577,-4958.40703656567,-4098.02345705713
1 Jan 2020 20:26:20.000000000,2705.17243547959,-4963.06449207559,-4091.99571512347
1 Jan 2020 20:26:21.000000000,2705.7524515481,-4967.71623688778,-4085.96317304401
1 Jan 2020 20:26:22.000000000,2706.32862999709,-4972.36226501063,-4079.92583789527
1 Jan 2020 20:26:23.000000000,2706.90097098811,-4977.00257045899,-4073.88371675938
1 Jan 2020 20:26:24.000000000,2707.46947468765,-4981.63714725466,-4067.8368167241
1 Jan 2020 20:26:25.000000000,2708.03414126785,-4986.26598942597,-4061.7851448828
1 Jan 2020 20:26:26.000000000,2708.59497090613,-4990.88909100803,-4055.72870833442
1 Jan 2020 20:26:27.000000000,2709.15196378536,-4995.50644604264,-4049.66751418352
1 Jan 2020 20:26:28.000000000,2709.70512009351,-5000.11804857843,-4043.60156954023
1 Jan 2020 20:26:29.000000000,2710.25444002392,-5004.7238926708,-4037.53088152025
1 Jan 2020 20:26:30.000000000,2710.79992377562,-5009.32397238169,-4031.45545724484
1 Jan 2020 20:26:31.000000000,2711.34157155253,-5013.91828178008,-4025.37530384082
1 Jan 2020 20:26:32.000000000,2711.87938356433,-5018.50681494145,-4019.29042844056
1 Jan 2020 20:26:33.000000000,2712.41336002565,-5023.08956594831,-4013.20083818198
1 Jan 2020 20:26:34.000000000,2712.94350115676,-5027.66652888977,-4007.10654020851
1 Jan 2020 20:26:35.000000000,2713.46980718317,-5032.23769786178,-4001.00754166911
1 Jan 2020 20:26:36.000000000,2713.99227833584,-5036.80306696706,-3994.90384971825
1 Jan 2020 20:26:37.000000000,2714.51091485073,-5041.36263031528,-3988.79547151592
1 Jan 2020 20:26:38.000000000,2715.02571696947,-5045.91638202276,-3982.6824142276
1 Jan 2020 20:26:39.000000000,2715.53668493903,-5050.46431621265,-3976.56468502425
1 Jan 2020 20:26:40.000000000,2716.04381901138,-5055.00642701511,-3970.44229108232
1 Jan 2020 20:26:41.000000000,2716.54711944427,-5059.54270856688,-3964.31523958373
1 Jan 2020 20:26:42.000000000,2717.04658650031,-5064.0731550118,-3958.18353771586
1 Jan 2020 20:26:43.000000000,2717.54222044794,-5068.59776050031,-3952.04719267156
1 Jan 2020 20:26:44.000000000,2718.03402156043,-5073.11651918997,-3945.90621164909
1 Jan 2020 20:26:45.000000000,2718.52199011684,-5077.62942524495,-3939.7606018522
1 Jan 2020 20:26:46.000000000,2719.00612640113,-5082.13647283654,-3933.61037049003
1 Jan 2020 20:26:47.000000000,2719.48643070288,-5086.63765614274,-3927.45552477716
1 Jan 2020 20:26:48.000000000,2719.96290331704,-5091.13296934843,-3921.29607193357
1 Jan 2020 20:26:49.000000000,2720.43554454351,-5095.62240664557,-3915.13201918465
1 Jan 2020 20:26:50.000000000,2720.90435468797,-5100.1059622328,-3908.9633737612
1 Jan 2020 20:26:51.000000000,2721.36933406097,-5104.58363031589,-3902.79014289938
1 Jan 2020 20:26:52.000000000,2721.83048297884,-5109.05540510731,-3896.61233384076
1 Jan 2020 20:26:53.000000000,2722.28780176276,-5113.52128082669,-3890.42995383225
1 Jan 2020 20:26:54.000000000,2722.74129073956,-5117.98125170042,-3884.24301012615
1 Jan 2020 20:26:55.000000000,2723.19095024141,-5122.43531196183,-3878.05150998009
1 Jan 2020 20:26:56.000000000,2723.63678060542,-5126.88345585137,-3871.85546065705
1 Jan 2020 20:26:57.000000000,2724.07878217449,-5131.32567761623,-3865.65486942537
1 Jan 2020 20:26:58.000000000,2724.51695529636,-5135.7619715108,-3859.44974355869
1 Jan 2020 20:26:59.000000000,2724.95130032454,-5140.19233179619,-3853.24009033597
